year,country,home_team,away_team,score
1916,Chile,Chile,Uruguay,0-4
1916,Argentina,Argentina,Chile,6-1
1916,Brazil,Brazil,Chile,1-1
1916,Argentina,Argentina,Brazil,1-1
1916,Brazil,Brazil,Uruguay,1-2
1917,Uruguay,Uruguay,Chile,4-0
1917,Argentina,Argentina,Brazil,4-2
1917,Argentina,Argentina,Chile,1-0
1917,Uruguay,Uruguay,Brazil,4-0
1917,Brazil,Brazil,Chile,5-0
1917,Uruguay,Uruguay,Argentina,1-0
1919,Brazil,Brazil,Chile,6-0
1919,Argentina,Argentina,Uruguay,2-3
1919,Chile,Chile,Uruguay,0-2
1919,Brazil,Brazil,Argentina,3-1
1919,Argentina,Argentina,Chile,4-1
1919,Brazil,Brazil,Uruguay,2-2
1919,Brazil,Brazil,Uruguay,1-0
1920,Chile,Chile,Brazil,0-1
1920,Uruguay,Uruguay,Argentina,1-1
1920,Brazil,Brazil,Uruguay,0-6
1920,Chile,Chile,Argentina,1-1
1920,Argentina,Argentina,Brazil,2-0
1920,Chile,Chile,Uruguay,1-2
1921,Argentina,Argentina,Brazil,1-0
1921,Paraguay,Paraguay,Uruguay,2-1
1921,Brazil,Brazil,Paraguay,3-0
1921,Argentina,Argentina,Paraguay,3-0
1921,Brazil,Brazil,Uruguay,1-2
1921,Argentina,Argentina,Uruguay,1-0
1922,Brazil,Brazil,Chile,1-1
1922,Chile,Chile,Uruguay,0-2
1922,Brazil,Brazil,Paraguay,1-1
1922,Argentina,Argentina,Chile,4-0
1922,Chile,Chile,Paraguay,0-3
1922,Argentina,Argentina,Uruguay,0-1
1922,Paraguay,Paraguay,Uruguay,1-0
1922,Brazil,Brazil,Argentina,2-0
1922,Argentina,Argentina,Paraguay,2-0
1922,Brazil,Brazil,Paraguay,3-0
1923,Argentina,Argentina,Paraguay,4-3
1923,Uruguay,Uruguay,Paraguay,2-0
1923,Brazil,Brazil,Paraguay,0-1
1923,Argentina,Argentina,Brazil,2-1
